id,v2009q4,v2010q1,v2010q2,v2010q3,v2010q4,v2011q1,v2011q2,v2011q3,v2011q4,v2012q1,v2012q2,v2012q3,v2012q4,v2013q1,v2013q2,v2013q3,v2013q4,v2014q1,v2014q2,v2014q3,v2014q4,v2015q1,v2015q2,v2015q3,v2015q4,v2016q1,v2016q2,v2016q3,v2016q4,v2017q1,v2017q2,v2017q3,v2017q4,v2018q1,v2018q2,v2018q3,v2018q4,v2019q1,v2019q2,v2019q3
001,43,35.1,38.9,35.5,35.2,33,36.6,34.5,33.3,32.5,30.7,32,31.5,30.8,30.5,35,36.4,39.7,33.7,36.7,37.1,36.6,35.4,34.1,36.8,38.2,40.1,38.5,39.4,36.5,40.6,36.1,39,40.7,39.3,40.6,37.2,40.5,36.8,38.8
003,47,51.2,50.9,49.8,48.9,41.8,44.9,43.9,44.4,43.5,43.1,41.5,44.4,40.8,46.2,41.2,44.9,41.4,40,41.9,43,44.5,42.8,45.3,45,42.6,48.1,46.3,43.8,47.2,47.2,42.6,49.9,45.7,46,43.3,44.9,43.6,47.6,46.2
510,47.5,45.1,49.8,48.4,46.2,45.1,48,45.5,44.1,42.5,46.9,45.4,43.7,45.8,48,48.2,49.1,46.5,47.8,47.4,51.4,47.8,49,49,47.1,45.1,46.7,45.8,46.7,44.5,48.3,44.4,47.4,47.9,48.7,43.3,44.1,92.9,97.2,92.7
005,37.2,29.5,38.4,27.1,16.6,28.8,15.3,21.4,13,8.7,28.4,19,19.3,23.5,10.7,28.1,21.9,21.4,26.6,26.1,19,21.4,23.9,35.3,22.8,22.5,21.2,20,22.5,20.5,25.9,16,19.4,17.4,22.6,21,21.3,16.4,19.8,17.5
007,29.1,36.9,37.7,30.9,41,31.5,27.6,33.7,32.9,32.2,24.6,31,25.7,26.2,28.9,35.2,39.9,30,34.1,27.5,25.8,27.6,28.4,31.7,29,28.6,30.8,30,30.2,31.2,33.1,15.8,30.1,16.3,30,35.8,34.2,38.2,48.8,48.5
009,31.4,33.6,35.2,36.1,30.2,33.6,31.7,34.1,30.6,32.6,28.5,28.8,29.8,30.2,29.5,33.5,34.4,29.2,32.3,31.1,34.9,26.8,30.4,31.9,33.9,31.6,30.9,33.6,32.1,30.9,31.3,36.9,32.2,42.2,34.3,32.2,31.5,30.5,30.2,29.1
011,34.5,29.5,29.5,26.1,30.4,27.1,28.5,24.4,30.7,31.7,29,21.3,29.9,26.8,30.6,24.4,26.6,25.9,23.6,28.5,29.8,29.4,23,32.8,32.8,33.8,32.1,31.6,30,31.8,34.8,30.1,29.9,31.3,32.2,29.2,32.7,12.8,15.2,16.2
013,46.7,43.6,45.8,44.7,46.7,43.2,45.1,43.8,42.5,42.2,44.6,41.2,41.7,41.6,44.8,44,44.7,43.5,43.8,44.2,47.3,44.9,46.6,47.6,43.4,43.6,44,43.5,43.1,42.5,46.5,26.7,45,25.8,42,40.1,40.1,81.2,84.6,83.5
015,39.1,42.8,40.6,44.3,38.4,38.5,37,37.6,36.6,35.8,34.5,34.7,35.7,35.1,36.3,40.6,41.7,-1,39.1,-1,40,30.7,33.3,35,32,32.4,34.9,33.2,36.6,34.2,37.4,69.9,33.9,81.9,37.9,36.8,36.4,46.7,50.7,50.2
017,-1,32.1,17.1,195.4,3.3,-1,12.9,49.1,20.8,327.8,14.5,28.3,19.2,19.1,10.1,53.3,66.1,17.9,51.2,15.9,38.5,154.4,52.1,38.1,30.6,14,28,48.8,31.2,23.8,24.3,37.3,27.1,39.2,32.9,50.4,39.9,16,25.3,17.7
